"STATION","NAME","DATE","CDSD","EMNT","EMXT","HDSD","TAVG","TMAX","TMIN"
"NLE00152502","WESTDORPE, NL","2024-01","0","22","56","2374","39.6","44.3","34.9"
"NLE00102445","VLIELAND, NL","2024-01","0","22","52","2379","40.8","44.2","37.4"
"NLE00102462","WOENSDRECHT, NL","2024-01","0","15","56","2554","38.7","44.2","33.3"
"NLE00152480","HUPSEL, NL","2024-01","0","17","56","2672","37.8","42.7","32.8"
"NLE00152482","HERWIJNEN, NL","2024-01","0","17","56","2576","38.4","43.7","33.1"
"NLE00152481","ARCEN, NL","2024-01","0","16","57","2483","38.5","43.4","33.6"
"NLE00152462","WAGENINGEN VEENKAMPEN, NL","2024-01","0","18","56",,"38.3","43.5","33.1"
"NLE00152484","WILHELMINADORP, NL","2024-01","0","24","56","2328","40.3","44.9","35.6"
"NLM00006280","EELDE 1, NL","2024-02",,,,,,,
"NLE00152483","NIEUW BEERTA, NL","2024-01",,,,,,,
"NLE00152486","HOORN TERSCHELLING, NL","2024-01",,,,,,,
"NLE00152485","SCHIPHOL, NL","2024-01","0","22","55","2445","39.7","44.7","34.7"
"NLE00152488","STAVOREN, NL","2024-01","0","20","52","2610","38.4","42.3","34.4"
"NLM00006260","DE BILT, NL","2024-01","0","18","56","2550","39.0","44.2","33.9"
"NLM00006260","DE BILT, NL","2024-02",,,"60",,,"50.9",
"NLE00152468","DE KOOY, NL","2024-01",,,,,,,
"NLM00006380","MAASTRICHT, NL","2024-01","0","16","56","2563","37.3","42.3","32.3"
"NLM00006380","MAASTRICHT, NL","2024-02",,,,,,,
"NLE00152489","LELYSTAD, NL","2024-01","0","18","55","2599","38.7","44.0","33.4"
"NLE00152500","TWENTHE, NL","2024-01","0","14","55","2741","37.5","42.6","32.4"
"NLM00006310","WEST SOUBURG, NL","2024-01","0","25","55","2151","40.9","44.7","37.0"
"NLM00006310","WEST SOUBURG, NL","2024-02",,,,,,,
"NLE00152491","GILZE RIJEN, NL","2024-01","0","15","57","2523","38.3","44.0","32.6"
"NLE00152490","ROTTERDAM, NL","2024-01","0","19","56","2388","39.7","44.8","34.6"
"NLM00006235","DEN HELDER 1, NL","2024-01","0","26","54","2404","40.6","44.7","36.6"
"NLM00006235","DEN HELDER 1, NL","2024-02",,,,,,,
"NLE00152470","EELDE, NL","2024-01","0","16","54","2886","37.1","42.3","32.0"
"NLE00152492","ELL, NL","2024-01","0","13","56","2573","37.4","43.1","31.7"
"NLE00152473","MARKNESSE, NL","2024-01","0","19","55","2634","38.4","43.0","33.7"
"NLE00152495","LEEUWARDEN, NL","2024-01","0","20","53","2711","38.5","42.9","34.1"
"NLE00155389","VOORSCHOTEN, NL","2024-01","0","19","55","2480","39.9","44.9","34.8"
"NLE00152494","HOEK VAN HOLLAND, NL","2024-01","0","22","54","2218","41.0","45.1","36.9"
"NLE00152475","WIJK AAN ZEE, NL","2024-01","0","23","54","2396","40.7","44.7","36.7"
"NLE00152497","DEELEN, NL","2024-01","0","15","55","2713","37.3","42.9","31.8"
"NLE00152477","VOLKEL, NL","2024-01","0","17","57","2595","37.9","43.5","32.4"
"NLE00152499","EINDHOVEN, NL","2024-01","0","16","57","2524","38.1","43.5","32.7"
"NLE00152476","CABAUW, NL","2024-01","0","18","55","2536","38.6","43.8","33.4"
"NLE00152498","HOOGEVEEN, NL","2024-01","0","18","55","2767","37.8","42.6","33.0"
"NLE00152479","HEINO, NL","2024-01","0","19","56","2633","38.4","43.3","33.6"
"NLE00152478","BERKHOUT, NL","2024-01","0","20","54","2595","38.9","43.8","34.1"
